config,algo,n,m,threads,median_ms,min_ms,load_ms,kernel_ms,speedup_vs_1t,efficiency,checksum_ok,error
tuned,cc,1000000,1000000,4,1072.079398000369,1063.6577330001273,88.6845859999994,983.3948120003697,1.027384909571721,0.2568462273929302,True,
tuned,cc,1000000,1000000,6,964.2298109997682,962.5936279999223,89.86108899989631,874.3687219998719,1.1554907724620636,0.19258179541034393,True,
tuned,cc,1000000,1000000,8,915.7737470000029,907.5345409996771,64.54272700011643,851.2310199998865,1.1868986987814825,0.1483623373476853,True,
tuned,cc,1000000,1000000,10,866.5709470001275,864.6806830001879,66.7223959999319,799.8485510001956,1.2631453651280693,0.12631453651280694,True,
tuned,cc,1000000,1000000,12,811.8860600002336,807.0758290000413,68.73932300004526,743.1467370001883,1.3595228771085128,0.11329357309237607,True,
tuned,kcore,1000000,1000000,1,413.8616569998703,411.60201299999244,140.19434900001215,273.66730799985817,1.0,1.0,True,
tuned,kcore,1000000,1000000,2,423.407965000024,416.0280639998746,118.5862359998282,304.8217290001958,0.8977946188333654,0.4488973094166827,True,
tuned,kcore,1000000,1000000,4,402.53794599993853,402.5338209999063,88.6845859999994,313.85335999993913,0.8719591467808764,0.2179897866952191,True,
tuned,kcore,1000000,1000000,6,397.1955679999155,388.07986599977085,89.86108899989631,307.3344790000192,0.8904542988157247,0.1484090498026208,True,
tuned,kcore,1000000,1000000,8,366.8005340000491,366.5087429999403,64.54272700011643,302.25780699993265,0.9054102215461357,0.11317627769326696,True,
tuned,kcore,1000000,1000000,10,381.8773699999838,363.20473600017067,66.7223959999319,315.1549740000519,0.8683578892199655,0.08683578892199655,True,
tuned,kcore,1000000,1000000,12,386.4348309998604,386.1558979997426,68.73932300004526,317.69550799981516,0.8614138415832351,0.07178448679860293,True,
tuned,bfs_parent,1000000,1000000,1,304.18620000000374,301.6620220000732,140.19434900001215,163.99185099999158,1.0,1.0,True,
tuned,bfs_parent,1000000,1000000,2,225.19173800037606,224.392577999879,118.5862359998282,106.60550200054786,1.5383056964465944,0.7691528482232972,True,
tuned,bfs_parent,1000000,1000000,4,166.71245600036855,165.71230900035516,88.6845859999994,78.02787000036915,2.10170867151975,0.5254271678799375,True,
tuned,bfs_parent,1000000,1000000,6,173.17743599960522,164.27581600009944,89.86108899989631,83.31634699970891,1.968303423103326,0.32805057051722103,True,
tuned,bfs_parent,1000000,1000000,8,136.42681300007098,129.59235599964813,64.54272700011643,71.88408599995455,2.2813373602621208,0.2851671700327651,True,
tuned,bfs_parent,1000000,1000000,10,148.7165539997477,139.00270699969042,66.7223959999319,81.9941579998158,2.000043112832014,0.20000431128320142,True,
tuned,bfs_parent,1000000,1000000,12,149.98673399986728,144.03726299997288,68.73932300004526,81.24741099982202,2.0184255594353746,0.1682021299529479,True,
tuned,pagerank,1000000,1000000,1,506.76675299973795,496.3845110000875,140.19434900001215,366.5724039997258,1.0,1.0,True,
tuned,pagerank,1000000,1000000,2,499.40595599991866,498.16776999978174,118.5862359998282,380.81972000009046,0.96258776725018,0.48129388362509,True,
tuned,pagerank,1000000,1000000,4,475.7939080000142,473.7809739999648,88.6845859999994,387.1093220000148,0.9469480148548626,0.23673700371371564,True,
tuned,pagerank,1000000,1000000,6,448.3156470000722,421.80078999990656,89.86108899989631,358.4545580001759,1.0226467925107146,0.1704411320851191,True,
tuned,pagerank,1000000,1000000,8,384.5614939996267,377.9437909997796,64.54272700011643,320.01876699951026,1.1454715841720833,0.1431839480215104,True,
tuned,pagerank,1000000,1000000,10,387.9959470000358,365.81122999996296,66.7223959999319,321.2735510001039,1.1409977661049577,0.11409977661049578,True,
tuned,pagerank,1000000,1000000,12,374.6469050001906,372.11959000023853,68.73932300004526,305.90758200014534,1.1983109460802825,0.09985924550669022,True,
tuned,sssp,1000000,1000000,1,682.5563860002148,624.0598659996976,161.5232730000571,521.0331130001578,1.0,1.0,True,
tuned,sssp,1000000,1000000,2,717.9441339999357,707.5114989997928,144.6735169997737,573.270617000162,0.908878106690074,0.454439053345037,True,
tuned,sssp,1000000,1000000,4,688.7316010001996,645.4171639998094,89.72227599997495,599.0093250002246,0.8698247109925415,0.2174561777481354,True,
tuned,sssp,1000000,1000000,6,647.9178889999275,603.3539259997269,93.0199179997544,554.8979710001731,0.9389710185117891,0.15649516975196484,True,
tuned,sssp,1000000,1000000,8,608.956304000003,603.1130339997617,78.29716100013684,530.6591429998662,0.9818602390504542,0.12273252988130677,True,
tuned,sssp,1000000,1000000,10,576.7041730000528,570.4399119999835,80.26636799968401,496.4378050003688,1.0495435838126201,0.10495435838126202,True,
tuned,sssp,1000000,1000000,12,557.71998299997,548.3532620000915,84.36351900036243,473.3564639996075,1.1007203928255425,0.09172669940212853,True,
tuned,pagerank_dataidx,1000000,1000000,1,527.929874000165,524.0706319996207,140.19434900001215,387.73552500015285,1.0,1.0,True,
tuned,pagerank_dataidx,1000000,1000000,2,517.8547159998743,481.76852400001735,118.5862359998282,399.2684800000461,0.9711147872231438,0.4855573936115719,True,
tuned,pagerank_dataidx,1000000,1000000,4,549.2500119999022,499.9704369997744,88.6845859999994,460.5654259999028,0.8418685014368288,0.2104671253592072,True,
tuned,pagerank_dataidx,1000000,1000000,6,462.586599000133,422.83468799996626,89.86108899989631,372.7255100002367,1.0402709624031545,0.17337849373385908,True,
tuned,pagerank_dataidx,1000000,1000000,8,385.4028840000865,384.56542999983867,64.54272700011643,320.86015699997006,1.2084252798024686,0.15105315997530858,True,
tuned,pagerank_dataidx,1000000,1000000,10,406.6200699999172,389.4646050002848,66.7223959999319,339.8976739999853,1.140741919287655,0.11407419192876549,True,
tuned,pagerank_dataidx,1000000,1000000,12,384.6458210000492,377.78664400002526,68.73932300004526,315.9064980000039,1.227374325804935,0.10228119381707791,True,
tuned,bfs_set,1000000,1000000,1,406.03306399998473,405.3831840001294,140.19434900001215,265.8387149999726,1.0,1.0,True,
tuned,bfs_set,1000000,1000000,2,416.1086169997361,407.00515300022744,118.5862359998282,297.5223809999079,0.8935082937510334,0.4467541468755167,True,
tuned,bfs_set,1000000,1000000,4,396.66041399959795,387.5763549999647,88.6845859999994,307.97582799959855,0.8631804538904239,0.21579511347260596,True,
tuned,bfs_set,1000000,1000000,6,384.62558399987756,367.6605400000881,89.86108899989631,294.76449499998125,0.9018681676705652,0.15031136127842754,True,
tuned,bfs_set,1000000,1000000,8,344.06178500012174,342.00516500004596,64.54272700011643,279.5190580000053,0.9510575661712752,0.1188821957714094,True,
tuned,bfs_set,1000000,1000000,10,330.490658999679,328.0269270003373,66.7223959999319,263.7682629997471,1.00784951144872,0.100784951144872,True,
tuned,bfs_set,1000000,1000000,12,328.08994700008043,325.83582899997054,68.73932300004526,259.35062400003517,1.0250166778080956,0.08541805648400796,True,
