system,algo,graph,real,user,sys,metric_source,log
p1grapheasy_autotuner,cc,web-hudong,0.54,1.04,0.33,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/cc/web-hudong.txt
p1grapheasy_autotuner,kcore,ER-AvgDeg10-1M-L2,0.17,0.27,0.16,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/kcore/ER-AvgDeg10-1M-L2.txt
p1grapheasy_autotuner,kcore,road-belgium-osm,0.09,0.11,0.04,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/kcore/road-belgium-osm.txt
p1grapheasy_autotuner,kcore,rt-retweet-crawl,0.1,0.13,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/kcore/rt-retweet-crawl.txt
p1grapheasy_autotuner,kcore,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/kcore/web-google.txt
p1grapheasy_autotuner,kcore,web-hudong,0.45,0.89,0.38,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/kcore/web-hudong.txt
p1grapheasy_autotuner,pagerank,ER-AvgDeg10-1M-L2,1.41,29.57,0.23,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/pagerank/ER-AvgDeg10-1M-L2.txt
p1grapheasy_autotuner,pagerank,road-belgium-osm,0.93,18.06,0.07,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/pagerank/road-belgium-osm.txt
p1grapheasy_autotuner,pagerank,rt-retweet-crawl,1.0,20.88,0.1,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/pagerank/rt-retweet-crawl.txt
p1grapheasy_autotuner,pagerank,web-google,0.0,0.0,0.0,final_program,/home/readinggroup/Documents/cgo/cgo/benchmark/logs_real_world/p1grapheasy_autotuner/pagerank/web-google.txt
